4080	16080
40160	6020
40380	20200
60200	40100
60340	100420
60400	40440
8020	20020
80260	80440
80340	20480
10040	40120
100320	100300
120220	60240
120240	120300
120260	20320
140200	60320
140240	240200
16040	240100
160160	240140
180280	60360
180420	40480
200100	18080
240160	80220
240360	100380
240460	120500
26020	38040
26060	100100
260500	120480
28060	38060
280100	140100
300200	360100
300380	160320
32060	18060
320120	200160
320300	140320
34020	22080
340140	480220
340400	320260
340440	420400
360320	500340
360400	320480
38080	420240
380240	220200
400300	400380
400320	320360
420360	480240
420500	400500
440140	30040
440300	320320
480160	300140
500100	340120
500380	380320
