20100	50
20440	67
20460	64
40300	69
40340	66
40400	92
6040	86
60180	59
60300	86
8040	86
80180	97
80240	59
80360	74
80380	70
100440	83
120280	59
14060	92
140360	53
16020	92
160140	52
160500	63
180240	60
180320	91
180340	53
180460	53
20040	82
200300	51
200320	92
220320	98
220480	75
220500	84
240120	70
240180	80
240500	64
260100	98
260220	85
260380	56
280300	97
280400	56
280420	82
280500	91
30080	78
300360	55
320420	78
320500	63
34080	66
340300	75
340500	79
36020	87
36080	67
360440	94
380340	90
400340	70
400400	58
42060	91
420140	66
44060	55
44080	88
440160	83
440220	75
440380	70
460300	65
460340	74
48020	89
50080	72
500200	57
500300	51
500500	80
