220	320	157	98	0	0	0	5	220	300	200	320	220	340	240	300	200	340				
260	100	156	98	0	0	0	3	240	100	240	120	280	100								
80	180	98	97	0	0	0	6	100	200	100	180	60	180	60	200	80	160	80	200		
280	300	178	97	0	0	0	3	280	320	260	320	300	280								
360	440	98	94	0	0	0	3	340	420	380	440	360	460								
40	400	108	92	0	0	0	4	60	420	40	420	20	420	20	380						
140	60	94	92	0	0	0	4	120	60	140	40	160	60	160	80						
160	20	112	92	0	0	0	4	160	40	140	20	140	40	180	40						
200	320	150	92	0	0	0	3	180	340	200	340	220	320								
180	320	123	91	0	0	0	2	200	300	180	300										
280	500	88	91	0	0	0	3	300	480	280	480	300	500								
420	60	105	91	0	0	0	4	400	60	420	40	440	60	440	40						
380	340	145	90	0	0	0	3	380	360	360	340	400	360								
480	20	109	89	0	0	0	3	460	40	460	20	500	20								
440	80	163	88	0	0	0	4	460	100	420	100	460	80	440	100						
360	20	113	87	0	0	0	3	340	20	340	40	380	20								
60	40	69	86	0	0	0	7	40	40	60	20	80	20	80	60	40	60	60	60	80	40
60	300	107	86	0	0	0	7	60	320	80	300	60	280	40	300	40	280	80	280	80	320
80	40	73	86	0	0	0	3	80	20	60	40	60	20								
260	220	192	85	0	0	0	4	240	220	260	240	240	240	280	200						
220	500	98	84	0	0	0	2	200	500	220	480										
100	440	154	83	0	0	0	4	100	420	80	460	80	420	120	440						
440	160	165	83	0	0	0	3	420	180	460	160	440	140								
200	40	135	82	0	0	0	4	180	20	180	60	220	40	200	20						
280	420	107	82	0	0	0	2	300	420	280	440										
240	180	176	80	0	0	0	5	240	200	220	200	260	160	220	180	260	180				
500	500	76	80	0	0	0	2	480	500	500	480										
340	500	96	79	0	0	0	3	320	500	360	500	320	480								
300	80	123	78	0	0	0	4	320	80	300	60	280	80	320	60						
320	420	86	78	0	0	0	3	300	440	340	420	340	440								
220	480	123	75	0	0	0	3	220	460	240	480	220	500								
340	300	169	75	0	0	0	5	340	280	360	280	320	280	340	320	360	320				
440	220	141	75	0	0	0	2	420	220	440	240										
80	360	154	74	0	0	0	4	60	360	80	380	100	360	60	380						
460	340	80	74	0	0	0	3	480	360	480	340	460	360								
500	80	97	72	0	0	0	3	500	100	480	60	500	60								
80	380	139	70	0	0	0	3	100	360	80	400	80	360								
240	120	182	70	0	0	0	4	240	140	220	100	260	100	260	120						
400	340	146	70	0	0	0	3	400	320	420	340	400	360								
440	380	114	70	0	0	0	4	420	400	420	380	440	360	460	380						
40	300	94	69	0	0	0	4	40	280	60	300	20	320	20	280						
20	440	112	67	0	0	0	4	40	440	40	420	20	420	20	460						
360	80	169	67	0	0	0	3	380	60	380	80	360	100								
40	340	130	66	0	0	0	4	60	360	60	320	40	360	20	340						
340	80	160	66	0	0	0	3	320	100	320	80	340	100								
420	140	181	66	0	0	0	3	400	160	420	120	420	160								
460	300	78	65	0	0	0	5	460	280	480	320	440	300	480	280	440	320				
20	460	116	64	0	0	0	3	20	480	20	440	40	460								
240	500	90	64	0	0	0	2	260	500	260	480										
160	500	117	63	0	0	0	4	160	480	180	480	140	500	180	500						
320	500	77	63	0	0	0	4	300	480	340	480	340	500	320	480						
180	240	199	60	0	0	0	3	180	220	180	260	200	260								
60	180	71	59	0	0	0	4	40	200	80	180	40	160	80	160						
80	240	149	59	0	0	0	4	60	260	80	220	100	240	80	260						
120	280	66	59	0	0	0	3	120	260	140	280	100	280								
400	400	126	58	0	0	0	4	380	400	420	380	400	380	420	400						
500	200	78	57	0	0	0	2	500	180	480	200										
260	380	139	56	0	0	0	3	280	400	240	400	240	380								
280	400	145	56	0	0	0	3	280	380	300	400	260	380								
300	360	146	55	0	0	0	5	320	360	300	380	320	380	280	380	300	340				
440	60	126	55	0	0	0	3	420	80	420	60	460	60								
140	360	178	53	0	0	0	2	160	360	120	360										
180	340	138	53	0	0	0	4	180	360	200	320	200	360	160	340						
180	460	105	53	0	0	0	3	180	480	180	440	200	460								
160	140	154	52	0	0	0	5	160	160	140	120	180	140	160	120	180	160				
200	300	123	51	0	0	0	5	180	300	200	280	220	280	220	300	180	320				
500	300	96	51	0	0	0	4	500	320	500	280	480	300	480	320						
20	100	81	50	0	0	0	2	40	120	40	80
