60	360	145	0	96	0	0	5	40	340	80	340	40	360	80	360	60	380					
360	100	178	0	96	0	0	5	360	80	340	120	340	100	360	120	380	80					
320	260	191	0	95	0	0	2	300	280	340	280											
480	240	61	0	95	0	0	3	480	220	500	220	460	260									
40	120	80	0	94	0	0	3	20	140	40	100	20	100									
80	440	121	0	93	0	0	3	80	460	60	440	60	420									
200	160	139	0	93	0	0	3	200	180	180	160	180	180									
320	360	138	0	90	0	0	3	340	360	320	340	300	360									
380	40	160	0	90	0	0	3	400	40	400	60	380	60									
420	240	177	0	90	0	0	4	420	220	400	240	400	260	420	260							
20	320	106	0	88	0	0	3	40	300	20	300	20	340									
140	320	102	0	88	0	0	3	120	300	160	300	160	320									
220	200	172	0	88	0	0	3	240	180	200	200	240	220									
60	240	126	0	83	0	0	3	40	260	60	260	60	220									
240	140	174	0	83	0	0	3	260	140	240	120	240	160									
120	500	114	0	82	0	0	2	140	500	100	500											
160	320	93	0	81	0	0	2	140	320	160	300											
220	80	163	0	80	0	0	3	200	100	240	100	200	60									
40	100	81	0	79	0	0	4	60	100	60	120	40	80	40	120							
160	80	114	0	77	0	0	5	180	100	140	60	180	80	180	60	140	80					
380	60	157	0	75	0	0	4	380	40	400	80	400	40	360	80							
180	60	116	0	74	0	0	6	180	80	160	80	180	40	200	60	160	40	200	40			
100	300	103	0	73	0	0	4	100	320	120	320	120	300	80	300							
80	220	123	0	72	0	0	3	80	240	60	200	100	220									
380	320	180	0	70	0	0	2	360	340	360	320											
500	340	77	0	70	0	0	2	480	360	500	360											
60	320	113	0	69	0	0	4	80	340	40	320	60	300	40	340							
100	100	120	0	69	0	0	3	120	100	100	80	100	120									
100	380	157	0	69	0	0	2	100	360	120	360											
320	480	77	0	69	0	0	5	340	500	320	500	300	460	300	500	300	480					
420	400	96	0	69	0	0	4	400	400	400	420	440	380	420	380							
180	80	124	0	68	0	0	5	200	80	160	80	160	100	180	60	200	100					
20	200	82	0	67	0	0	3	40	220	20	220	40	200									
40	440	100	0	66	0	0	5	20	440	20	420	40	420	60	440	60	460					
120	300	91	0	66	0	0	3	100	300	120	320	140	320									
300	140	192	0	65	0	0	3	300	120	320	120	320	140									
400	500	72	0	63	0	0	3	380	480	400	480	420	500									
120	480	152	0	61	0	0	2	140	480	120	460											
140	100	118	0	61	0	0	2	140	80	120	100											
40	480	72	0	59	0	0	2	60	480	20	500											
320	320	132	0	59	0	0	2	300	320	300	340											
240	100	143	0	58	0	0	6	220	100	260	80	240	80	260	100	220	80	220	120			
340	120	185	0	58	0	0	4	320	120	320	140	360	100	360	140							
300	40	107	0	55	0	0	4	280	60	320	40	280	20	300	60							
480	220	91	0	55	0	0	6	500	220	460	200	480	240	480	200	460	240	500	240			
60	20	87	0	53	0	0	4	80	40	40	20	60	40	40	40							
240	200	183	0	53	0	0	3	240	220	260	200	240	180									
200	20	109	0	52	0	0	2	200	40	180	20											
20	480	98	0	51	0	0	4	40	460	40	500	20	460	20	500							
100	420	186	0	50	0	0	2	120	440	100	440											
400	380	153	0	50	0	0	3	420	360	400	400	380	360
